Marca,Modelo,Precio Promedio
Hyundai,Verna 1.6 SX VTVT (O),538750.0
Hyundai,i20 1.2 Magna Executive,537500.0
Honda,City i DTEC V,537500.0
Mahindra,Bolero 2011-2019 SLX,537500.0
Maruti,Ertiga VDI Limited Edition,535000.0
Mahindra,Bolero Power Plus Plus AC BSIV PS,535000.0
Mahindra,Scorpio EX,533333.3333333334
Hyundai,i20 Sportz 1.4 CRDi,532500.0
Honda,Amaze VX i-DTEC,530555.5555555555
Toyota,Innova 2.5 V Diesel 8-seater,530000.0
Ford,Ecosport 1.5 DV5 MT Titanium Optional,530000.0
Skoda,Rapid 1.5 TDI Ambition,530000.0
Tata,Tiago XZA AMT,525000.0
Hyundai,i20 2015-2017 Magna 1.2,525000.0
Mahindra,NuvoSport N8,525000.0
Hyundai,Grand i10 Asta Option AT,525000.0
Maruti,Wagon R VXI AMT1.2BSIV,525000.0
Hyundai,Grand i10 Asta Option,525000.0
Hyundai,i20 1.2 Spotz,525000.0
Mitsubishi,Outlander 2.4,525000.0
Maruti,Swift Dzire ZXI,523750.0
Hyundai,Grand i10 Magna AT,520000.0
Toyota,Innova Crysta 2.5 VX BS IV,520000.0
Hyundai,Santro Magna CNG BSIV,520000.0
Maruti,Swift VXI,517357.14285714284
Toyota,Innova 2.5 G4 Diesel 7-seater,516666.6666666667
Volkswagen,Polo 1.5 TDI Highline,516666.6666666667
Hyundai,Santro Asta,515000.0
Mahindra,Thar DI 4X2,515000.0
Hyundai,i20 1.2 Asta,511500.0
Maruti,Swift Dzire VDI,511463.73913043475
Maruti,Baleno Delta Diesel,511000.0
Hyundai,Xcent 1.2 VTVT E Plus,511000.0
Hyundai,Grand i10 1.2 Kappa Asta,510416.6666666667
Toyota,Etios 1.5 V,509999.0
Mahindra,Scorpio 1.99 S4,509999.0
Mahindra,KUV 100 G80 K4 Plus,509999.0
Maruti,Celerio ZXI AT,509999.0
Nissan,Terrano XL 110 PS,508333.3333333333
Hyundai,Grand i10 1.2 Kappa Magna BSIV,507750.0
Volkswagen,Vento 1.5 TDI Highline,505000.0
Mahindra,Scorpio SLE BSIV,504999.8333333333
Tata,Tigor 1.2 Revotron XM,504999.5
Hyundai,Xcent 1.1 CRDi SX Option,503333.3333333333
Chevrolet,Cruze LTZ,502222.22222222225
Nissan,Terrano XL Plus 85 PS,500333.3333333333
Maruti,Ignis 1.2 Alpha BSIV,500000.0
Mahindra,Bolero Power Plus Plus Non AC BSIV PS,500000.0
Mahindra,Bolero Power Plus LX,500000.0
Fiat,Punto EVO 1.3 Dynamic,500000.0
Fiat,Linea T Jet Plus,500000.0
Maruti,Ignis 1.2 Delta BSIV,500000.0
Maruti,Ignis 1.2 Zeta BSIV,500000.0
Maruti,Swift LDI Optional,500000.0
Hyundai,Santro Sportz BSIV,500000.0
Hyundai,Verna 1.4 EX,500000.0
Nissan,Terrano XE 85 PS,500000.0
Chevrolet,Tavera Neo 3 9 Str BSIII,500000.0
Maruti,Ertiga BSIV ZXI,500000.0
Toyota,Etios Liva 1.2 V,500000.0
Toyota,Innova 2.5 GX (Diesel) 8 Seater,500000.0
Mahindra,Supro VX 8 Str,500000.0
Honda,City i VTEC S,500000.0
Maruti,Baleno Sigma 1.2,500000.0
Tata,Altroz XE,500000.0
Ford,Ecosport 1.5 DV5 MT Ambiente,500000.0
Maruti,Celerio ZXI AMT BSIV,500000.0
Maruti,Ertiga SHVS LDI,500000.0
Tata,Nexon 1.2 Revotron XM,500000.0
Toyota,Corolla Altis G,500000.0
Ford,Endeavour 2.5L 4X2,500000.0
Honda,Jazz 1.2 S i VTEC,500000.0
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,499428.5714285714
Ford,Figo Aspire 1.2 Ti-VCT Trend,497500.0
Mahindra,Scorpio M2DI,497142.85714285716
Honda,Amaze S i-VTEC,495000.0
Honda,Jazz 1.5 S i DTEC,495000.0
Tata,Aria Pure LX 4x2,495000.0
Ford,Figo 1.5D Titanium Opt MT,495000.0
Honda,City Corporate Edition,495000.0
Renault,Duster 110PS Diesel RxZ,494999.77777777775
Hyundai,i20 Sportz 1.2,494500.0
Mahindra,Scorpio LX,493200.0
Hyundai,Verna 1.6 SX CRDi (O),491071.35714285716
Renault,Duster 85PS Diesel RxL Optional,490750.0
Hyundai,Verna 1.6 SX,490666.4
Maruti,Swift LDI BSIV,490000.0
Maruti,Ritz VDI (ABS) BS IV,490000.0
Maruti,Celerio X ZXI BSIV,490000.0
Hyundai,Grand i10 Asta,488200.0
Maruti,Swift VXI Deca,486250.0
Volkswagen,Polo 1.2 MPI Comfortline,485000.0
Honda,Brio 1.2 S Option MT,484999.0
Maruti,Swift ZDI Plus,484999.0
Hyundai,Santro Sportz AMT,484999.0
Toyota,Etios VD,482857.0
Hyundai,Verna SX CRDi AT,482500.0
Maruti,Swift Dzire LDI,482222.22222222225
Volkswagen,Passat 1.8 TSI MT,480000.0
Honda,City 1.5 V Elegance,480000.0
BMW,5 Series 530i,480000.0
Ford,Figo 1.5D Trend MT,480000.0
Toyota,Etios Liva VD,480000.0
Maruti,Swift VDI Optional,479999.5
Renault,Duster 85PS Diesel RxL,479117.64705882355
Maruti,Grand Vitara MT,479000.0
Maruti,Eeco CNG 5 Seater AC BSIV,478333.3333333333
Tata,Tigor 1.2 Revotron XT,478333.0
Honda,Amaze S i-Vtech,476666.6666666667
Mahindra,Scorpio VLS AT 2.2 mHAWK,476250.0
Ford,Ecosport 1.5 Ti VCT AT Titanium,475000.0
Mahindra,Scorpio SLE BSIII,475000.0
Mahindra,KUV 100 mFALCON D75 K8,475000.0
Hyundai,i20 Sportz Option 1.2,475000.0
Skoda,Laura Elegance 2.0 TDI CR AT,475000.0
Honda,Amaze S i-DTEC,475000.0
Honda,Brio 1.2 VX MT,475000.0
Toyota,Innova 2.5 GX (Diesel) 7 Seater BS IV,472500.0
Hyundai,Xcent 1.2 VTVT S AT,471000.0
Chevrolet,Tavera Neo 3 LT 9 Seats BSIII,470000.0
Mahindra,KUV 100 D75 K4 Plus 5Str,470000.0
Hyundai,i20 Asta 1.2,468750.0
Hyundai,i20 2015-2017 Sportz Option 1.4 CRDi,465000.0
Volkswagen,Ameo 1.2 MPI Trendline,465000.0
Hyundai,Santro Magna BSIV,462500.0
Ford,Endeavour 2.5L 4X2 MT,462500.0
Ford,Figo Aspire 1.5 TDCi Titanium Plus,459999.0
Renault,Duster 85PS Diesel RxE,458333.3333333333
Renault,Duster 85PS Diesel RxL Plus,457333.3333333333
Honda,Jazz VX,456666.6666666667
Renault,Pulse RxZ,455000.0
Tata,Tiago 1.2 Revotron XZ,453833.3333333333
Mahindra,Scorpio LX BSIV,452000.0
Maruti,Celerio VXI AMT BSIV,450000.0
Honda,Mobilio V i DTEC,450000.0
Mahindra,Thar 4X2,450000.0
Toyota,Innova 2.5 G3,450000.0
Tata,New Safari DICOR 2.2 VX 4x4,450000.0
Maruti,Ignis 1.2 Sigma BSIV,450000.0
Mahindra,Bolero SLX 4WD BSIII,450000.0
Datsun,GO Plus A Option Petrol,450000.0
Hyundai,Grand i10 CRDi Asta Option,450000.0
Fiat,Punto EVO 1.3 Emotion,450000.0
Maruti,Ignis 1.2 AMT Delta BSIV,450000.0
Hyundai,Xcent 1.2 CRDi S,450000.0
Skoda,Laura Ambiente 2.0 TDI CR AT,450000.0
Skoda,Rapid 1.5 TDI Elegance,450000.0
Ford,Fiesta Petrol Trend,450000.0
Mahindra,Xylo D2 BSIV,450000.0
Hyundai,Verna 1.6 SX VTVT AT,450000.0
Nissan,Sunny XV D Premium Leather,450000.0
Volkswagen,Polo 1.5 TDI Comfortline,450000.0
Honda,Jazz 1.5 SV i DTEC,450000.0
Tata,Tiago 1.05 Revotorq XT Option,450000.0
Tata,Tiago 2019-2020 XZ,450000.0
Maruti,S-Presso VXI Plus,450000.0
Tata,Sumo Gold EX BSIII,449500.0
Maruti,Swift VDI BSIV,448724.1034482759
Renault,Scala Diesel RxL,448000.0
Mahindra,KUV 100 mFALCON G80 K8 5str,446666.6666666667
Volkswagen,Vento 1.6 Highline,443499.5
Hyundai,Verna 1.4 VTVT,443333.3333333333
Honda,Amaze VX AT i-Vtech,440000.0
Hyundai,i20 Asta (o) 1.4 CRDi (Diesel),440000.0
Fiat,Linea T Jet Emotion,440000.0
Toyota,Innova 2.5 GX 8 STR BSIV,439333.3333333333
Hyundai,Grand i10 1.2 Kappa Sportz Dual Tone,437500.0
Nissan,Micra XL CVT,434999.0
Hyundai,Grand i10 1.2 Kappa Era,434999.0
Honda,City V AT,434999.0
Datsun,GO Plus T Option Petrol,434999.0
Maruti,Celerio ZXI,433999.6
Toyota,Etios GD,433571.28571428574
Mahindra,KUV 100 mFALCON G80 K2,433333.3333333333
Hyundai,Grand i10 AT Asta,432500.0
Maruti,Celerio VXI Optional,430999.0
Toyota,Etios Liva 1.2 G,430000.0
Ambassador,Grand 1800 ISZ MPFI PW CL,430000.0
Mahindra,KUV 100 mFALCON D75 K6,430000.0
Hyundai,Xcent 1.2 Kappa S,430000.0
Hyundai,Xcent 1.1 CRDi SX,430000.0
Skoda,Rapid 1.6 TDI PRESTIGE,430000.0
Hyundai,i20 Asta 1.4 CRDi,429090.9090909091
Honda,Accord 2.4 AT,428000.0
Tata,Tiago 1.2 Revotron XTA,426000.0
Tata,Harrier XE,426000.0
Maruti,Swift Dzire VXI,425000.0
Maruti,Celerio ZXI MT BSIV,425000.0
Toyota,Etios Liva 1.4 VD,425000.0
Maruti,Swift Dzire LDIX Limited Edition,425000.0
Hyundai,Santro Magna AMT BSIV,425000.0
Volkswagen,Polo 1.2 MPI Highline,425000.0
Honda,Amaze S AT i-Vtech,425000.0
Toyota,Etios Cross 1.4L GD,425000.0
Chevrolet,Enjoy TCDi LT 8 Seater,425000.0
Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV,424285.4285714286
Maruti,Swift ZDi,421666.6666666667
Toyota,Corolla Altis Diesel D4DJ,420000.0
Maruti,Celerio VXI AT,420000.0
Maruti,Wagon R VXI AMT,420000.0
Mahindra,KUV 100 mFALCON G80 K2 Plus,420000.0
Maruti,Swift Dzire LDI Optional,419000.0
Hyundai,Grand i10 CRDi Magna,418000.0
Maruti,Swift LXI Option,415000.0
Ford,Figo Trend,415000.0
Hyundai,i20 Asta (o),412500.0
Honda,City 1.5 V MT,412499.8333333333
Maruti,Swift ZXI,410000.0
Mahindra,Bolero SLX 2WD BSIII,410000.0
Mahindra,KUV 100 D75 K2,409999.0
Hyundai,i20 Magna 1.4 CRDi,409999.0
Maruti,Gypsy King HT BSIV,409999.0
Ford,Fiesta Titanium 1.5 TDCi,408000.0
Hyundai,Grand i10 1.2 Kappa Sportz Option,405000.0
Chevrolet,Tavera Neo 2 LT L 9 Str,400000.0
Ford,Endeavour Hurricane Limited Edition,400000.0
Mahindra,Xylo E6,400000.0
Maruti,SX4 ZDI Leather,400000.0
Skoda,Laura Elegance 1.9 TDI AT,400000.0
Renault,Duster Petrol RxL,400000.0
Maruti,Swift LDI,400000.0
Maruti,Swift VVT VXI,400000.0
Chevrolet,Tavera Neo 3 LS 7 C BSIII,400000.0
Chevrolet,Tavera Neo 2 LS B4 7 Str BSIII,400000.0
Honda,Amaze S Diesel,400000.0
Chevrolet,Tavera Neo 3 Max 9 Str BSIII,400000.0
Tata,Tiago 1.05 Revotorq XZ Plus,400000.0
Toyota,Corolla Altis 1.8 J,400000.0
Tata,Zest Quadrajet 1.3 XM,400000.0
Toyota,Innova 2.5 EV Diesel MS 7 Str BSIII,400000.0
Honda,Accord 2.4 MT,400000.0
Chevrolet,Captiva 2.0L VCDi,400000.0
Honda,City 1.5 E MT,400000.0
Nissan,Micra Active XV Petrol,399000.0
Hyundai,Xcent 1.2 CRDi SX,399000.0
Hyundai,i20 Magna Optional 1.4 CRDi,397500.0
Tata,Tiago 1.2 Revotron XT,395000.0
Hyundai,Grand i10 CRDi Sportz,394166.5
Toyota,Etios Liva GD,394166.3333333333
Tata,Zest Revotron 1.2T XMS,392500.0
Hyundai,Xcent 1.1 CRDi Base,392000.0
Volkswagen,Polo Petrol Comfortline 1.2L,391666.6666666667
Renault,Pulse RxL,390000.0
Volkswagen,Vento 1.5 TDI Comfortline,390000.0
Tata,Zest Revotron 1.2 XT,390000.0
Datsun,GO Plus T BSIV,390000.0
Chevrolet,Enjoy TCDi LTZ 7 Seater,390000.0
Maruti,Swift VDI,388629.6296296296
Hyundai,Grand i10 1.2 CRDi Magna,387500.0
Hyundai,i20 1.4 CRDi Sportz,385500.0
Tata,Tiago 2019-2020 XE Diesel,385000.0
Mahindra,KUV 100 G80 K2,385000.0
Hyundai,Verna SX Diesel,385000.0
Chevrolet,Enjoy 1.3 TCDi LS 8,383333.3333333333
Hyundai,Xcent 1.2 Kappa SX,383333.3333333333
Hyundai,Xcent 1.2 CRDi E,383333.3333333333
Maruti,Swift Dzire 1.2 Vxi BSIV,381500.0
Ford,Ecosport 1.0 Ecoboost Titanium Optional,381250.0
Tata,Tiago 1.05 Revotorq XE,380500.0
Volkswagen,Vento Magnific 1.6 Highline,380000.0
Maruti,Swift 1.3 VXI ABS,380000.0
Ford,Fiesta Diesel Style,380000.0
Honda,Amaze E i-VTEC,380000.0
Maruti,Wagon R VXI Plus Optional,380000.0
Mahindra,KUV 100 D75 K6 Plus,380000.0
Volkswagen,Polo SR Petrol 1.2L,380000.0
Maruti,Eeco 5 Seater Standard BSIV,380000.0
Tata,Safari DICOR 2.2 EX 4x2,380000.0
Maruti,Swift VXI Optional,380000.0
Honda,City E,380000.0
Tata,Sumo Gold EX,379999.5
Skoda,Laura Ambiente 2.0 TDI CR MT,379615.3846153846
Hyundai,Grand i10 Magna,378750.0
Hyundai,Grand i10 Sportz,376666.6666666667
Hyundai,i10 Sportz 1.2 AT,376250.0
Volkswagen,Vento Petrol Highline,375000.0
Chevrolet,Sail LS ABS,375000.0
Datsun,RediGO 1.0 T Option,375000.0
Tata,Bolt Revotron XM,375000.0
Maruti,Swift Dzire LXI,375000.0
Chevrolet,Captiva LT,375000.0
Mahindra,Xylo D2 BS IV,371666.0
Hyundai,i20 Magna 1.4 CRDi (Diesel),370999.8
Toyota,Etios Cross 1.2L G,370500.0
Mahindra,Scorpio 2.6 Turbo 9 Str,370000.0
Maruti,Wagon R AMT VXI Option,370000.0
Renault,Duster 110PS Diesel RxZ Plus,370000.0
Maruti,Celerio ZXI Optional AMT BSIV,370000.0
Hyundai,Verna Transform SX VTVT,370000.0
Honda,Amaze E i-DTEC,370000.0
Honda,Brio VX,367500.0
Honda,Amaze S i-Dtech,366428.5714285714
Honda,Brio V MT,366333.3333333333
Honda,City S,365000.0
Maruti,Celerio Green VXI,365000.0
Renault,Scala RxL,365000.0
Volkswagen,Polo Diesel Highline 1.2L,363166.5
Nissan,Sunny XL D,362500.0
Mahindra,Scorpio 2.6 CRDe SLE,362500.0
Tata,Aria Pleasure 4x2,360000.0
Honda,Amaze E i-Vtech,360000.0
Mahindra,Scorpio VLX 2WD ABS AT BSIII,360000.0
Chevrolet,Cruze LT,359666.6666666667
Nissan,Sunny Diesel XV,358333.3333333333
Nissan,Sunny XL,358000.0
Nissan,Micra Active XV,357499.5
Renault,KWID AMT,355000.0
Mahindra,Scorpio VLS 2.2 mHawk,354999.5
Tata,Zest Revotron 1.2T XE,353750.0
Ford,Figo Petrol EXI,350000.0
Ford,Fiesta Classic 1.6 Duratec CLXI,350000.0
Tata,Tiago 1.2 Revotron XZA,350000.0
Fiat,Linea Classic 1.3 Multijet,350000.0
Maruti,Ertiga VXI ABS,350000.0
Skoda,Rapid 1.6 MPI Elegance,350000.0
Honda,Brio 1.2 S MT,350000.0
Mahindra,Xylo E4 ABS BS IV,350000.0
Mahindra,Xylo D2 Maxx,350000.0
Hyundai,i10 Asta AT,350000.0
Volkswagen,CrossPolo 1.2 MPI,350000.0
Volkswagen,Jetta 2.0 TDI Comfortline,350000.0
Mercedes-Benz,E-Class 220 CDI,350000.0
Skoda,Yeti Ambition 4WD,350000.0
Tata,Zest Quadrajet 1.3 75PS XE,350000.0
Mahindra,KUV 100 mFALCON D75 K8 AW,350000.0
Honda,City VX MT,350000.0
Maruti,Celerio ZDi,350000.0
Renault,KWID Climber 1.0 AMT BSIV,350000.0
Fiat,Avventura MULTIJET Emotion,350000.0
Honda,City i DTEC E,350000.0
Chevrolet,Sail 1.2 LT ABS,350000.0
Fiat,Linea Dynamic,350000.0
Hyundai,i20 1.4 CRDi Asta,350000.0
Toyota,Corolla Altis 1.8 VL AT,350000.0
Datsun,RediGO SV 1.0,350000.0
Renault,Fluence 1.5,350000.0
Datsun,GO Plus T Option,350000.0
Hyundai,Santro Era,350000.0
Datsun,GO Plus T,350000.0
Ford,Figo 1.5D Ambiente ABS MT,350000.0
Honda,Brio 1.2 E MT,350000.0
Maruti,Eeco 5 Seater AC BSIV,346222.22222222225
Force,One EX,346000.0
Maruti,Alto K10 VXI AGS,343666.6666666667
Skoda,Laura L n K 1.9 PD,343333.3333333333
Hyundai,Verna 1.6 CRDI,343000.0
Tata,Tiago 1.2 Revotron XE,341666.6666666667
Maruti,Celerio LXI MT BSIV,340000.0
Hyundai,i20 Magna Optional 1.2,340000.0
Honda,Amaze EX i-Dtech,339999.8
Maruti,Swift VXi BSIV,337500.0
Maruti,Alto 800 LXI Optional,335000.0
Honda,Brio Exclusive Edition,335000.0
Mahindra,Xylo E8,335000.0
Hyundai,Xcent 1.2 Kappa Base,335000.0
Tata,Tiago XT,335000.0
Honda,Civic 1.8 V MT,335000.0
Maruti,Celerio VXI,333625.0
Skoda,Superb 1.8 TFSI MT,333333.3333333333
Nissan,Micra XL,332571.4285714286
Renault,KWID 1.0 RXT Optional,330882.35294117645
Volkswagen,Vento New Diesel Highline,330000.0
Chevrolet,Enjoy TCDi LS 8 Seater,330000.0
Maruti,Wagon R AMT VXI,330000.0
Tata,Xenon XT EX 4X2,327333.3333333333
Volkswagen,Vento Diesel Highline,327142.85714285716
Tata,New Safari DICOR 2.2 GX 4x2 BS IV,326000.0
Mahindra,Xylo E4 8S,325000.0
Renault,KWID RXL BSIV,325000.0
Fiat,Grande Punto EVO 1.3 Dynamic,325000.0
Mahindra,Bolero 2011-2019 SLE,325000.0
Ford,Figo Titanium Diesel BSIV,325000.0
Renault,Pulse RxZ Optional,325000.0
Volkswagen,Vento 1.5 TDI Comfortline AT,325000.0
Hyundai,Verna Transform CRDi VGT SX ABS,325000.0
Mahindra,Bolero SLE,325000.0
Mahindra,Bolero SLX,324099.9
Maruti,Alto K10 VXI Airbag,323750.0
Honda,City 1.5 S MT,320832.8333333333
Volkswagen,Vento Diesel Style Limited Edition,320000.0
Tata,New Safari DICOR 2.2 GX 4x2,320000.0
Tata,Sumo Victa CX 7/9 Str BSII,320000.0
Toyota,Innova 2.0 VX 7 Seater,320000.0
Hyundai,EON Magna Plus Option,320000.0
Volkswagen,Polo 1.5 TDI Trendline,317500.0
Chevrolet,Enjoy TCDi LT 7 Seater,316666.6666666667
Maruti,Ritz LDi,316500.0
Maruti,Alto 800 LXI Opt BSIV,315000.0
Datsun,GO Plus A,315000.0
Maruti,Celerio VDi,315000.0
Datsun,GO Plus T Option BSIV,313333.3333333333
Toyota,Etios V,313000.0
Ford,Endeavour 4x4 XLT,312500.0
Maruti,Eeco Smiles 5 Seater AC,311666.6666666667
Maruti,Eeco 7 Seater Standard BSIV,310833.3333333333
Honda,Amaze E i-Dtech,310000.0
Toyota,Camry Hybrid,310000.0
Honda,City VTEC,310000.0
Maruti,Wagon R CNG LXI,310000.0
Maruti,Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,310000.0
Ford,Fiesta Classic 1.4 Duratorq CLXI,308333.3333333333
Renault,KWID 1.0,307500.0
Maruti,SX4 ZDI,307500.0
Honda,Brio S MT,306833.3333333333
Maruti,SX4 VDI,306666.6666666667
Toyota,Etios GD SP,306666.6666666667
Maruti,Wagon R VXI BS IV,305344.7931034483
Volkswagen,Vento 1.0 TSI Highline Plus,305000.0
Maruti,Wagon R Stingray VXI,305000.0
Mahindra,Quanto C4,303333.3333333333
Maruti,Swift Ldi BSIV,301666.6666666667
Ford,Fiesta 1.6 Duratec S,300000.0
Mahindra,Xylo E9,300000.0
Tata,Winger Deluxe - Hi Roof (AC),300000.0
Mahindra,Scorpio 2.6 SLX CRDe,300000.0
Hyundai,Grand i10 CRDi Asta,300000.0
Hyundai,i20 1.4 CRDi Magna,300000.0
Hyundai,i10 Magna 1.1 iTech SE,300000.0
Renault,KWID Climber 1.0 AMT,300000.0
Honda,Civic 1.8 (E) MT,300000.0
Maruti,Swift Dzire Tour LDI,300000.0
Maruti,Alto K10 LXI CNG Optional,300000.0
Mahindra,Xylo D4 BSIV,300000.0
Maruti,Alto K10 VXI AGS Optional,300000.0
Toyota,Innova 2.5 EV Diesel PS 7 Seater BSIII,300000.0
Maruti,Alto 800 CNG LXI Optional,300000.0
Maruti,Wagon R AX,300000.0
Datsun,RediGO AMT 1.0 S,300000.0
Honda,Jazz S,300000.0
Hyundai,EON Magna Optional,300000.0
Maruti,Ritz LXI,300000.0
Tata,Indigo CS LS (TDI) BS-III,300000.0
Datsun,GO Plus Remix Limited Edition,300000.0
Maruti,Gypsy King Hard Top Ambulance BSIV,300000.0
Toyota,Corolla Executive (HE),300000.0
Skoda,Fabia 1.2 MPI Ambition Plus,300000.0
Toyota,Corolla Altis Diesel D4DG,300000.0
Tata,New Safari 3L Dicor LX 4x2,300000.0
Tata,Manza Club Class Quadrajet90 LX,300000.0
Tata,Bolt Revotron XE,300000.0
Maruti,Swift Dzire VDi,299545.45454545453
Maruti,Wagon R Stingray LXI,299000.0
Maruti,Alto K10 VXI,296999.95238095237
Mahindra,Verito 1.5 D4 BSIV,295000.0
Mahindra,Scorpio VLX 2WD BSIII,295000.0
Maruti,Ritz VXi,295000.0
Hyundai,i20 1.2 Magna,293333.3333333333
Maruti,Swift LXI,293000.0
Mahindra,Xylo D2,291666.6666666667
Chevrolet,Sail 1.3 LS,290000.0
Datsun,redi-GO AMT 1.0 T Option,290000.0
Mahindra,Quanto C8,290000.0
Hyundai,i10 Sportz 1.1L,288999.6
Volkswagen,Jetta 1.9 Highline TDI,288333.3333333333
Volkswagen,Polo Diesel Comfortline 1.2L,287500.0
Maruti,Swift Dzire LDi,287500.0
Tata,New Safari DICOR 2.2 EX 4x2,287307.53846153844
Toyota,Innova 2.5 E 8 STR,287000.0
Hyundai,i20 1.2 Sportz,285833.3333333333
Honda,Brio S Option AT,285000.0
Maruti,Alto K10 VXI Optional,285000.0
Tata,Indica Vista Quadrajet 90 VX,285000.0
Honda,Jazz Select Edition Active,285000.0
Volkswagen,Vento Petrol Highline AT,284500.0
Maruti,Alto K10 LXI CNG,282000.0
Maruti,Eeco 5 STR With AC Plus HTR CNG,281999.6
Datsun,GO T Petrol,281666.6666666667
Renault,KWID RXL,281666.5
Chevrolet,Sail Hatchback 1.3 TCDi,281000.0
Ford,Endeavour XLT TDCi 4X2,280000.0
Volkswagen,Vento IPL II Diesel Trendline,280000.0
Hyundai,EON Era Plus Sports Edition,280000.0
Honda,Brio E MT,280000.0
Tata,Bolt Quadrajet XE,280000.0
Toyota,Etios Liva GD SP,280000.0
Tata,New Safari Dicor EX 4X2 BS IV,280000.0
Mahindra,Verito Vibe 1.5 dCi D6,280000.0
Skoda,Laura 1.9 TDI MT Ambiente,280000.0
Hyundai,i20 1.4 Magna Executive,280000.0
Chevrolet,Tavera Neo LS B3 - 7(C) seats BSIII,280000.0
Mahindra,Xylo E4,279999.75
Renault,KWID RXT,278333.3333333333
Mahindra,Scorpio VLX 2WD AT BSIV,275000.0
Mahindra,Bolero SLX 2WD,275000.0
Mahindra,Xylo E8 ABS Airbag BSIV,275000.0
Renault,KWID 1.0 RXL,275000.0
Hyundai,Sonata 2.4L AT,275000.0
Skoda,Fabia 1.2 TDI Active,275000.0
Skoda,Rapid 1.6 TDI Elegance,275000.0
Hyundai,EON Era Plus Option,273750.0
Nissan,Sunny Diesel XL,273333.3333333333
Maruti,Wagon R VXI Optional,273000.0
Renault,KWID RXE,272500.0
Hyundai,EON Era,272499.5
Maruti,Swift 1.2 DLX,272000.0
Hyundai,i10 Magna LPG,271666.6666666667
Ford,Figo Diesel ZXI,271666.6666666667
Hyundai,i20 Asta,271250.0
Mahindra,Quanto C6,271125.0
Volkswagen,Polo 1.0 MPI Trendline,271000.0
Maruti,Swift Dzire VXi,270833.1666666667
Renault,KWID RXT Optional,270000.0
Tata,Manza Club Class Quadrajet90 EX,270000.0
Ford,Fiesta 1.4 SXi TDCi ABS,270000.0
Volkswagen,Jetta 2.0 TDI Trendline,270000.0
Hyundai,Xcent 1.1 CRDi S,270000.0
Datsun,RediGO S,270000.0
Maruti,Swift 1.3 DLX,270000.0
Ford,Figo Petrol Titanium,269000.0
Toyota,Etios Liva VX,269000.0
Nissan,Micra Diesel XV,269000.0
Skoda,Rapid 1.6 MPI Active,269000.0
Maruti,SX4 Celebration Diesel,267500.0
Mahindra,Scorpio 2.6 Turbo 7 Str,267500.0
Ford,Classic 1.6 Duratec LXI,265000.0
Datsun,GO T BSIV,265000.0
Mahindra,Bolero DI DX 8 Seater,264999.5
Fiat,Grande Punto EVO 1.3 Active,263333.3333333333
Maruti,Swift VDi BSIII W/ ABS,263000.0
Toyota,Etios VX,262500.0
Hyundai,Verna 1.6 VTVT,262500.0
Volkswagen,Vento Diesel Trendline,262500.0
Hyundai,i10 Magna 1.1L,262499.5
Ford,Figo 1.2P Titanium Plus MT,260000.0
Volkswagen,Jetta 1.9 TDI Comfortline DSG,260000.0
Chevrolet,Sail Hatchback 1.2 LS,260000.0
Maruti,Wagon R VXI Minor ABS,260000.0
Tata,Tiago 1.05 Revotorq XM,260000.0
Maruti,Wagon R VXI BS IV with ABS,259999.5
Maruti,Wagon R LXI BS IV,259200.0
Hyundai,i10 Magna 1.2,257499.75
Hyundai,EON Magna Plus,256874.83333333334
Chevrolet,Optra Magnum 2.0 LT,256666.66666666666
Hyundai,Verna CRDi SX,255499.75
Tata,Manza Aura Quadrajet BS IV,255499.5
Maruti,Wagon R LX BS IV,255000.0
Fiat,Punto 1.3 Emotion,255000.0
Maruti,Wagon R LXI CNG,255000.0
Volkswagen,Polo Diesel Trendline 1.2L,253750.0
Mahindra,Bolero DI,253571.42857142858
Ford,Figo Diesel EXI,253124.875
Fiat,500 Lounge,250999.0
Toyota,Innova 2.5 G4 Diesel 8-seater,250000.0
Mahindra,Verito Vibe 1.5 dCi D4,250000.0
Tata,Indica Vista Aura 1.3 Quadrajet BSIV,250000.0
Tata,New Safari DICOR 2.2 EX 4x4,250000.0
Volkswagen,Jetta 1.9 L TDI,250000.0
Fiat,Grande Punto Emotion 90Hp,250000.0
Chevrolet,Sail Hatchback 1.3 TCDi LT ABS,250000.0
Hyundai,i20 Asta 1.4 CRDi (Diesel),250000.0
Datsun,GO A,250000.0
Hyundai,i20 1.2 Era,250000.0
Tata,Zest Quadrajet 1.3,250000.0
Hyundai,i20 Sportz Petrol,250000.0
Maruti,Swift Star VDI,250000.0
Maruti,Swift Glam,250000.0
Hyundai,Santro Xing GLS Audio LPG,250000.0
Hyundai,Verna CRDi SX ABS,250000.0
Chevrolet,Aveo 1.4 LT BSIV,250000.0
Maruti,Swift VXI with ABS,250000.0
Maruti,Alto K10 LX,250000.0
Renault,KWID RXT BSIV,250000.0
Ford,Classic 1.4 Duratorq LXI,250000.0
Fiat,Grande Punto EVO 90HP 1.3 Sport,250000.0
Maruti,Ritz LXi,248000.0
Chevrolet,Sail 1.2 Base,248000.0
Hyundai,EON Era Plus,245542.85714285713
Maruti,Alto 800 LXI CNG,245000.0
Tata,Indigo Grand Petrol,245000.0
